source,target,PhyloDist,Family_source,Family_target,System_source,System_target
ca,ru,4407.25566405406,Romance,Slavic,masc/fem,masc/fem/neu
hr,ru,1227.02850322345,Slavic,Slavic,masc/fem/neu,masc/fem/neu
it,ru,4406.64562196712,Romance,Slavic,masc/fem,masc/fem/neu
pt,ru,4407.4249096637,Romance,Slavic,masc/fem,masc/fem/neu
bg,ru,1227.37728755284,Slavic,Slavic,masc/fem/neu,masc/fem/neu
uk,sl,1227.89037748964,Slavic,Slavic,masc/fem/neu,masc/fem/neu
sk,sl,1227.54303042959,Slavic,Slavic,masc/fem/neu,masc/fem/neu
bg,sl,820.785664859035,Slavic,Slavic,masc/fem/neu,masc/fem/neu
hr,sl,820.43688052965,Slavic,Slavic,masc/fem/neu,masc/fem/neu
da,sl,4406.80917850912,Germanic,Slavic,com/neu,masc/fem/neu
hi,sl,4792.74088312654,Indo-Iranian,Slavic,masc/fem,masc/fem/neu
pl,sl,1227.52321153181,Slavic,Slavic,masc/fem/neu,masc/fem/neu
es,sl,4407.48306178468,Romance,Slavic,masc/fem,masc/fem/neu
cs,sl,1227.02727721002,Slavic,Slavic,masc/fem/neu,masc/fem/neu
sv,sl,4407.0668126624,Germanic,Slavic,com/neu,masc/fem/neu
nl,sl,4407.05945945804,Germanic,Slavic,com/neu,masc/fem/neu
sl,sl,0,Slavic,Slavic,masc/fem/neu,masc/fem/neu
de,sl,4406.00061931123,Germanic,Slavic,masc/fem/neu,masc/fem/neu
el,sl,4536.69397040249,Greek,Slavic,masc/fem/neu,masc/fem/neu
lt,sl,2457.56008707404,Baltic,Slavic,masc/fem,masc/fem/neu
ru,sl,1227.58020643249,Slavic,Slavic,masc/fem/neu,masc/fem/neu
fr,sl,4405.62470780363,Romance,Slavic,masc/fem,masc/fem/neu
lv,sl,2457.66181743453,Baltic,Slavic,masc/fem,masc/fem/neu
ro,sl,4407.2251853247,Romance,Slavic,masc/fem/neu,masc/fem/neu
ca,sl,4407.4149685816,Romance,Slavic,masc/fem,masc/fem/neu
it,sl,4406.80492649466,Romance,Slavic,masc/fem,masc/fem/neu
pt,sl,4407.58421419124,Romance,Slavic,masc/fem,masc/fem/neu
hi,sk,4792.5444025961,Indo-Iranian,Slavic,masc/fem,masc/fem/neu
ro,sk,4407.02870479425,Romance,Slavic,masc/fem/neu,masc/fem/neu
pl,sk,646.18874638395,Slavic,Slavic,masc/fem/neu,masc/fem/neu
el,sk,4536.49748987205,Greek,Slavic,masc/fem/neu,masc/fem/neu
sk,sk,0,Slavic,Slavic,masc/fem/neu,masc/fem/neu
nl,sk,4406.86297892759,Germanic,Slavic,com/neu,masc/fem/neu
cs,sk,268.048898824021,Slavic,Slavic,masc/fem/neu,masc/fem/neu
lt,sk,2457.3636065436,Baltic,Slavic,masc/fem,masc/fem/neu
pt,sk,4407.38773366079,Romance,Slavic,masc/fem,masc/fem/neu
es,sk,4407.28658125424,Romance,Slavic,masc/fem,masc/fem/neu
ca,sk,4407.21848805116,Romance,Slavic,masc/fem,masc/fem/neu
lv,sk,2457.46533690409,Baltic,Slavic,masc/fem,masc/fem/neu
uk,sk,728.29683128142,Slavic,Slavic,masc/fem/neu,masc/fem/neu
da,sk,4406.61269797868,Germanic,Slavic,com/neu,masc/fem/neu
sv,sk,4406.87033213196,Germanic,Slavic,com/neu,masc/fem/neu
it,sk,4406.60844596422,Romance,Slavic,masc/fem,masc/fem/neu
sl,sk,1227.54303042959,Slavic,Slavic,masc/fem/neu,masc/fem/neu
de,sk,4405.8041387808,Germanic,Slavic,masc/fem/neu,masc/fem/neu
ru,sk,727.98666022427,Slavic,Slavic,masc/fem/neu,masc/fem/neu
fr,sk,4405.4282272732,Romance,Slavic,masc/fem,masc/fem/neu
hr,sk,1226.99132722054,Slavic,Slavic,masc/fem/neu,masc/fem/neu
bg,sk,1227.34011154993,Slavic,Slavic,masc/fem/neu,masc/fem/neu
es,es,0,Romance,Romance,masc/fem,masc/fem
uk,es,4407.6339283143,Slavic,Romance,masc/fem/neu,masc/fem
sv,es,3753.67916865155,Germanic,Romance,com/neu,masc/fem
fr,es,770.89576170476,Romance,Romance,masc/fem,masc/fem
cs,es,4406.77082803468,Slavic,Romance,masc/fem/neu,masc/fem
lv,es,4407.51001429853,Baltic,Romance,masc/fem,masc/fem
sl,es,4407.48306178468,Slavic,Romance,masc/fem/neu,masc/fem
de,es,3752.61297530039,Germanic,Romance,masc/fem/neu,masc/fem
